Scenario,State,Energy,Type,Year,Capacity
EV,CA,Utility PV,SOLAR,2034,31.580144551583
EV,CA,Utility PV,SOLAR,2036,32.6939425189499
EV,CA,Utility PV,SOLAR,2038,33.3206938182919
EV,CA,Utility PV,SOLAR,2040,35.9295536574898
EV,CA,Utility PV,SOLAR,2042,41.6737581672865
EV,CA,Utility PV,SOLAR,2044,44.3379726824117
EV,CA,Utility PV,SOLAR,2046,48.4325398174965
EV,CA,Utility PV,SOLAR,2048,52.3272239545415
EV,CA,Utility PV,SOLAR,2050,58.1744421475174
EV,CA,Rooftop PV,SOLAR,2020,7.09626181818182
EV,CA,Rooftop PV,SOLAR,2022,7.58907818181818
EV,CA,Rooftop PV,SOLAR,2024,7.93829272727273
EV,CA,Rooftop PV,SOLAR,2026,8.31397454545454
EV,CA,Rooftop PV,SOLAR,2028,8.73472727272727
EV,CA,Rooftop PV,SOLAR,2030,9.21964272727273
EV,CA,Rooftop PV,SOLAR,2032,9.59919545454545
EV,CA,Rooftop PV,SOLAR,2034,9.90462181818182
EV,CA,Rooftop PV,SOLAR,2036,10.1926481818182
EV,CA,Rooftop PV,SOLAR,2038,10.4339872727273
EV,CA,Rooftop PV,SOLAR,2040,10.6435909090909
EV,CA,Rooftop PV,SOLAR,2042,10.7746927272727
EV,CA,Rooftop PV,SOLAR,2044,10.8989209090909
EV,CA,Rooftop PV,SOLAR,2046,11.0087
EV,CA,Rooftop PV,SOLAR,2048,11.1209572727273
EV,CA,Rooftop PV,SOLAR,2050,11.2261209090909
EV,CA,Storage,BATT,2020,4.66073716632444
EV,CA,Storage,BATT,2022,5.06673716632443
EV,CA,Storage,BATT,2024,5.06673716632443
EV,CA,Storage,BATT,2026,5.06673716632443
EV,CA,Storage,BATT,2028,5.06673716632443
EV,CA,Storage,BATT,2030,5.06673716632443
EV,CA,Storage,BATT,2032,5.06673716632443
EV,CA,Storage,BATT,2034,5.06673716632443
EV,CA,Storage,BATT,2036,5.06673716632443
EV,CA,Storage,BATT,2038,5.0836196683844
EV,CA,Storage,BATT,2040,5.08932995065291
EV,CA,Storage,BATT,2042,5.7279396786921
EV,CA,Storage,BATT,2044,6.37360891586305
EV,CA,Storage,BATT,2046,6.42430640114699
EV,CA,Storage,BATT,2048,6.84349335542919
EV,CA,Storage,BATT,2050,8.23861756120994
EV,WA,Land-based Wind,WIND,2020,3.074761
EV,WA,Land-based Wind,WIND,2022,3.074761
EV,WA,Land-based Wind,WIND,2024,3.074761
EV,WA,Land-based Wind,WIND,2026,2.849761
EV,WA,Land-based Wind,WIND,2028,2.83416
EV,WA,Land-based Wind,WIND,2030,2.30520912781687
EV,WA,Land-based Wind,WIND,2032,1.86374671431448
EV,WA,Land-based Wind,WIND,2034,1.292345727388
EV,WA,Land-based Wind,WIND,2036,1.843927837208
EV,WA,Land-based Wind,WIND,2038,1.965212786317
EV,WA,Land-based Wind,WIND,2040,2.28998051669593
EV,WA,Land-based Wind,WIND,2042,1.953845377997
EV,WA,Land-based Wind,WIND,2044,1.767679328417
EV,WA,Land-based Wind,WIND,2046,2.07520731800228
EV,WA,Land-based Wind,WIND,2048,3.2367451472038
EV,WA,Land-based Wind,WIND,2050,3.8847451472038
EV,WA,Offshore Wind,WIND,2020,0
EV,WA,Offshore Wind,WIND,2022,0
EV,WA,Offshore Wind,WIND,2024,0
EV,WA,Offshore Wind,WIND,2026,0
EV,WA,Offshore Wind,WIND,2028,0
EV,WA,Offshore Wind,WIND,2030,0
EV,WA,Offshore Wind,WIND,2032,0
EV,WA,Offshore Wind,WIND,2034,0
EV,WA,Offshore Wind,WIND,2036,0
EV,WA,Offshore Wind,WIND,2038,0
EV,WA,Offshore Wind,WIND,2040,0
EV,WA,Offshore Wind,WIND,2042,0
EV,WA,Offshore Wind,WIND,2044,0
EV,WA,Offshore Wind,WIND,2046,0
EV,WA,Offshore Wind,WIND,2048,0
EV,WA,Offshore Wind,WIND,2050,0
EV,WA,CSP,SOLAR,2020,0
EV,WA,CSP,SOLAR,2022,0
EV,WA,CSP,SOLAR,2024,0
EV,WA,CSP,SOLAR,2026,0
EV,WA,CSP,SOLAR,2028,0
EV,WA,CSP,SOLAR,2030,0
EV,WA,CSP,SOLAR,2032,0
EV,WA,CSP,SOLAR,2034,0
EV,WA,CSP,SOLAR,2036,0
EV,WA,CSP,SOLAR,2038,0
EV,WA,CSP,SOLAR,2040,0
EV,WA,CSP,SOLAR,2042,0
EV,WA,CSP,SOLAR,2044,0
EV,WA,CSP,SOLAR,2046,0
EV,WA,CSP,SOLAR,2048,0
EV,WA,CSP,SOLAR,2050,0
EV,WA,Utility PV,SOLAR,2020,0.000384615384615385
EV,WA,Utility PV,SOLAR,2022,0.000384615384615385
EV,WA,Utility PV,SOLAR,2024,0.000384615384615385
EV,WA,Utility PV,SOLAR,2026,0.000384615384615385
EV,WA,Utility PV,SOLAR,2028,0.000384615384615385
EV,WA,Utility PV,SOLAR,2030,0.000384615384615385
EV,WA,Utility PV,SOLAR,2032,0.000384615384615385
EV,WA,Utility PV,SOLAR,2034,0.000384615384615385
EV,WA,Utility PV,SOLAR,2036,0.000384615384615385
EV,WA,Utility PV,SOLAR,2038,0.000384615384615385
EV,WA,Utility PV,SOLAR,2040,0.000384615384615385
EV,WA,Utility PV,SOLAR,2042,0.000384615384615385
EV,WA,Utility PV,SOLAR,2044,0.000384615384615385
EV,WA,Utility PV,SOLAR,2046,0.000384615384615385
EV,WA,Utility PV,SOLAR,2048,2.37665046153846
EV,WA,Utility PV,SOLAR,2050,2.37665046153846
EV,WA,Rooftop PV,SOLAR,2020,0.0846872727272727
EV,WA,Rooftop PV,SOLAR,2022,0.0862354545454545
EV,WA,Rooftop PV,SOLAR,2024,0.0868009090909091
EV,WA,Rooftop PV,SOLAR,2026,0.0877781818181818
EV,WA,Rooftop PV,SOLAR,2028,0.0908327272727273
EV,WA,Rooftop PV,SOLAR,2030,0.0991636363636364
EV,WA,Rooftop PV,SOLAR,2032,0.108937272727273
EV,WA,Rooftop PV,SOLAR,2034,0.117427272727273
EV,WA,Rooftop PV,SOLAR,2036,0.130882727272727
EV,WA,Rooftop PV,SOLAR,2038,0.152996363636364
EV,WA,Rooftop PV,SOLAR,2040,0.179587272727273
EV,WA,Rooftop PV,SOLAR,2042,0.196179090909091
EV,WA,Rooftop PV,SOLAR,2044,0.206588181818182
EV,WA,Rooftop PV,SOLAR,2046,0.215465454545455
EV,WA,Rooftop PV,SOLAR,2048,0.226994545454545
EV,WA,Rooftop PV,SOLAR,2050,0.238338181818182
EV,WA,Storage,BATT,2020,0.258248
EV,WA,Storage,BATT,2022,0.258248
EV,WA,Storage,BATT,2024,0.258248
EV,WA,Storage,BATT,2026,0.258248
EV,WA,Storage,BATT,2028,0.258248
EV,WA,Storage,BATT,2030,0.258248
EV,WA,Storage,BATT,2032,0.258248
EV,WA,Storage,BATT,2034,0.258248
EV,WA,Storage,BATT,2036,0.258248
EV,WA,Storage,BATT,2038,0.258248
EV,WA,Storage,BATT,2040,0.258248716891534
EV,WA,Storage,BATT,2042,0.258248716891534
EV,WA,Storage,BATT,2044,0.258260684098614
EV,WA,Storage,BATT,2046,0.259540212039096
EV,WA,Storage,BATT,2048,0.265868356024309
EV,WA,Storage,BATT,2050,0.266451915891431
EV,OR,Land-based Wind,WIND,2020,3.615861
EV,OR,Land-based Wind,WIND,2022,3.62735070924445
EV,OR,Land-based Wind,WIND,2024,3.62735070924445
EV,OR,Land-based Wind,WIND,2026,3.45398543315851
EV,OR,Land-based Wind,WIND,2028,3.41730856876469
EV,OR,Land-based Wind,WIND,2030,3.29553654689575
EV,OR,Land-based Wind,WIND,2032,2.7334973456596
EV,OR,Land-based Wind,WIND,2034,1.983687266575
EV,OR,Land-based Wind,WIND,2036,3.03442679927964
EV,OR,Land-based Wind,WIND,2038,3.948705272713
EV,OR,Land-based Wind,WIND,2040,4.017583625052
EV,OR,Land-based Wind,WIND,2042,3.128395293578
EV,OR,Land-based Wind,WIND,2044,4.44915684874372
EV,OR,Land-based Wind,WIND,2046,5.699353618913
EV,OR,Land-based Wind,WIND,2048,6.010678484913
EV,OR,Land-based Wind,WIND,2050,6.298678484913
EV,OR,Offshore Wind,WIND,2020,0
EV,OR,Offshore Wind,WIND,2022,0
EV,OR,Offshore Wind,WIND,2024,0
EV,OR,Offshore Wind,WIND,2026,0
EV,OR,Offshore Wind,WIND,2028,0
EV,OR,Offshore Wind,WIND,2030,0
EV,OR,Offshore Wind,WIND,2032,0
EV,OR,Offshore Wind,WIND,2034,0
EV,OR,Offshore Wind,WIND,2036,0
EV,OR,Offshore Wind,WIND,2038,0
EV,OR,Offshore Wind,WIND,2040,0
EV,OR,Offshore Wind,WIND,2042,0
EV,OR,Offshore Wind,WIND,2044,0
EV,OR,Offshore Wind,WIND,2046,0
EV,OR,Offshore Wind,WIND,2048,0
EV,OR,Offshore Wind,WIND,2050,0
EV,OR,CSP,SOLAR,2020,0
EV,OR,CSP,SOLAR,2022,0
EV,OR,CSP,SOLAR,2024,0
EV,OR,CSP,SOLAR,2026,0
EV,OR,CSP,SOLAR,2028,0
EV,OR,CSP,SOLAR,2030,0
EV,OR,CSP,SOLAR,2032,0
EV,OR,CSP,SOLAR,2034,0
EV,OR,CSP,SOLAR,2036,0
EV,OR,CSP,SOLAR,2038,0
EV,OR,CSP,SOLAR,2040,0
EV,OR,CSP,SOLAR,2042,0
EV,OR,CSP,SOLAR,2044,0
EV,OR,CSP,SOLAR,2046,0
EV,OR,CSP,SOLAR,2048,0
EV,OR,CSP,SOLAR,2050,0
EV,OR,Utility PV,SOLAR,2020,0.363558307692308
EV,OR,Utility PV,SOLAR,2022,0.363558307692308
EV,OR,Utility PV,SOLAR,2024,0.363558307692308
EV,OR,Utility PV,SOLAR,2026,2.86701523076923
EV,OR,Utility PV,SOLAR,2028,2.86701523076923
EV,OR,Utility PV,SOLAR,2030,2.86701523076923
EV,OR,Utility PV,SOLAR,2032,2.86701523076923
EV,OR,Utility PV,SOLAR,2034,2.86701523076923
EV,OR,Utility PV,SOLAR,2036,2.86701523076923
EV,OR,Utility PV,SOLAR,2038,2.86701523076923
EV,OR,Utility PV,SOLAR,2040,2.86701523076923
EV,OR,Utility PV,SOLAR,2042,2.86000023076923
EV,OR,Utility PV,SOLAR,2044,2.85198523076923
EV,OR,Utility PV,SOLAR,2046,2.85627923076923
EV,OR,Utility PV,SOLAR,2048,4.07290644233443
EV,OR,Utility PV,SOLAR,2050,4.07290644233443
EV,OR,Rooftop PV,SOLAR,2020,0.17475
EV,OR,Rooftop PV,SOLAR,2022,0.212482727272727
EV,OR,Rooftop PV,SOLAR,2024,0.253087272727273
EV,OR,Rooftop PV,SOLAR,2026,0.322025454545455
EV,OR,Rooftop PV,SOLAR,2028,0.419272727272727
EV,OR,Rooftop PV,SOLAR,2030,0.546213636363636
EV,OR,Rooftop PV,SOLAR,2032,0.695453636363636
EV,OR,Rooftop PV,SOLAR,2034,0.862604545454545
EV,OR,Rooftop PV,SOLAR,2036,1.05238
EV,OR,Rooftop PV,SOLAR,2038,1.25591909090909
EV,OR,Rooftop PV,SOLAR,2040,1.47010454545455
EV,OR,Rooftop PV,SOLAR,2042,1.6776
EV,OR,Rooftop PV,SOLAR,2044,1.88006909090909
EV,OR,Rooftop PV,SOLAR,2046,2.07520818181818
EV,OR,Rooftop PV,SOLAR,2048,2.26114181818182
EV,OR,Rooftop PV,SOLAR,2050,2.43270454545455
EV,OR,Storage,BATT,2020,0.0025
EV,OR,Storage,BATT,2022,0.0025
EV,OR,Storage,BATT,2024,0.0025
EV,OR,Storage,BATT,2026,0.0025
EV,OR,Storage,BATT,2028,0.0025
EV,OR,Storage,BATT,2030,0.0026313389487409
EV,OR,Storage,BATT,2032,0.0026313389487409
EV,OR,Storage,BATT,2034,0.0026313389487409
EV,OR,Storage,BATT,2036,0.00267671706788499
EV,OR,Storage,BATT,2038,0.00311976389773792
EV,OR,Storage,BATT,2040,0.0148596663862186
EV,OR,Storage,BATT,2042,0.0148596663862186
EV,OR,Storage,BATT,2044,0.0172570564415938
EV,OR,Storage,BATT,2046,0.022442311933322
EV,OR,Storage,BATT,2048,0.031981060093046
EV,OR,Storage,BATT,2050,0.0688768030184131
EV,NV,Land-based Wind,WIND,2020,0.65181
EV,NV,Land-based Wind,WIND,2022,0.65181
EV,NV,Land-based Wind,WIND,2024,0.65181
EV,NV,Land-based Wind,WIND,2026,0.65181
EV,NV,Land-based Wind,WIND,2028,0.65181
EV,NV,Land-based Wind,WIND,2030,0.670972700293
EV,NV,Land-based Wind,WIND,2032,0.670962700293
EV,NV,Land-based Wind,WIND,2034,0.670962700293
EV,NV,Land-based Wind,WIND,2036,0.74317916241
EV,NV,Land-based Wind,WIND,2038,0.862164118801
EV,NV,Land-based Wind,WIND,2040,0.871944869076
EV,NV,Land-based Wind,WIND,2042,1.058773920285
EV,NV,Land-based Wind,WIND,2044,2.026365086496
EV,NV,Land-based Wind,WIND,2046,2.026365086496
EV,NV,Land-based Wind,WIND,2048,2.057396186886
EV,NV,Land-based Wind,WIND,2050,2.057396186886
EV,NV,Offshore Wind,WIND,2020,0
EV,NV,Offshore Wind,WIND,2022,0
EV,NV,Offshore Wind,WIND,2024,0
EV,NV,Offshore Wind,WIND,2026,0
EV,NV,Offshore Wind,WIND,2028,0
EV,NV,Offshore Wind,WIND,2030,0
EV,NV,Offshore Wind,WIND,2032,0
EV,NV,Offshore Wind,WIND,2034,0
EV,NV,Offshore Wind,WIND,2036,0
EV,NV,Offshore Wind,WIND,2038,0
EV,NV,Offshore Wind,WIND,2040,0
EV,NV,Offshore Wind,WIND,2042,0
EV,NV,Offshore Wind,WIND,2044,0
EV,NV,Offshore Wind,WIND,2046,0
EV,NV,Offshore Wind,WIND,2048,0
EV,NV,Offshore Wind,WIND,2050,0
EV,NV,CSP,SOLAR,2020,0.174
EV,NV,CSP,SOLAR,2022,0.174
EV,NV,CSP,SOLAR,2024,0.174
EV,NV,CSP,SOLAR,2026,0.174
EV,NV,CSP,SOLAR,2028,0.174
EV,NV,CSP,SOLAR,2030,0.174
EV,NV,CSP,SOLAR,2032,0.174
EV,NV,CSP,SOLAR,2034,0.174
EV,NV,CSP,SOLAR,2036,0.174
EV,NV,CSP,SOLAR,2038,0.174
EV,NV,CSP,SOLAR,2040,0.174
EV,NV,CSP,SOLAR,2042,0.174
EV,NV,CSP,SOLAR,2044,0.174
EV,NV,CSP,SOLAR,2046,0.064
EV,NV,CSP,SOLAR,2048,0.064
EV,NV,CSP,SOLAR,2050,0.064
EV,NV,Utility PV,SOLAR,2020,2.15101823076923
EV,NV,Utility PV,SOLAR,2022,2.34552679190688
EV,NV,Utility PV,SOLAR,2024,3.11896153846154
EV,NV,Utility PV,SOLAR,2026,3.11896153846154
EV,NV,Utility PV,SOLAR,2028,3.11896153846154
EV,NV,Utility PV,SOLAR,2030,3.11896153846154
EV,NV,Utility PV,SOLAR,2032,3.11896153846154
EV,NV,Utility PV,SOLAR,2034,3.11896153846154
EV,NV,Utility PV,SOLAR,2036,3.11896153846154
EV,NV,Utility PV,SOLAR,2038,3.11896153846154
EV,NV,Utility PV,SOLAR,2040,3.11896153846154
EV,NV,Utility PV,SOLAR,2042,2.95624515384615
EV,NV,Utility PV,SOLAR,2044,2.66884515384615
EV,NV,Utility PV,SOLAR,2046,2.044348
EV,NV,Utility PV,SOLAR,2048,1.536348
EV,NV,Utility PV,SOLAR,2050,1.536348
EV,NV,Rooftop PV,SOLAR,2020,0.270673636363636
EV,NV,Rooftop PV,SOLAR,2022,0.286561818181818
EV,NV,Rooftop PV,SOLAR,2024,0.29806
EV,NV,Rooftop PV,SOLAR,2026,0.309396363636364
EV,NV,Rooftop PV,SOLAR,2028,0.32095
EV,NV,Rooftop PV,SOLAR,2030,0.338733636363636
EV,NV,Rooftop PV,SOLAR,2032,0.352120909090909
EV,NV,Rooftop PV,SOLAR,2034,0.361972727272727
EV,NV,Rooftop PV,SOLAR,2036,0.372445454545455
EV,NV,Rooftop PV,SOLAR,2038,0.382994545454545
EV,NV,Rooftop PV,SOLAR,2040,0.394099090909091
EV,NV,Rooftop PV,SOLAR,2042,0.400594545454545
EV,NV,Rooftop PV,SOLAR,2044,0.410610909090909
EV,NV,Rooftop PV,SOLAR,2046,0.419249090909091
EV,NV,Rooftop PV,SOLAR,2048,0.427789090909091
EV,NV,Rooftop PV,SOLAR,2050,0.436294545454545
EV,NV,Storage,BATT,2020,0
EV,NV,Storage,BATT,2022,0
EV,NV,Storage,BATT,2024,0
EV,NV,Storage,BATT,2026,0
EV,NV,Storage,BATT,2028,0
EV,NV,Storage,BATT,2030,0
EV,NV,Storage,BATT,2032,0
EV,NV,Storage,BATT,2034,0
EV,NV,Storage,BATT,2036,5.87195932445406e-07
EV,NV,Storage,BATT,2038,1.00152212571562e-06
EV,NV,Storage,BATT,2040,0.0160935433086677
EV,NV,Storage,BATT,2042,0.0199139684195591
EV,NV,Storage,BATT,2044,0.089702990038378
EV,NV,Storage,BATT,2046,0.110122851290548
EV,NV,Storage,BATT,2048,0.110122851290548
EV,NV,Storage,BATT,2050,0.11250360310001
EV,ID,Land-based Wind,WIND,2020,0.966824
EV,ID,Land-based Wind,WIND,2022,0.966824
EV,ID,Land-based Wind,WIND,2024,0.966824
EV,ID,Land-based Wind,WIND,2026,0.966824
EV,ID,Land-based Wind,WIND,2028,0.9665
EV,ID,Land-based Wind,WIND,2030,0.8915
EV,ID,Land-based Wind,WIND,2032,0.8507
EV,ID,Land-based Wind,WIND,2034,0.7262
EV,ID,Land-based Wind,WIND,2036,0.866093033328
EV,ID,Land-based Wind,WIND,2038,0.943524985276
EV,ID,Land-based Wind,WIND,2040,1.189598957799
EV,ID,Land-based Wind,WIND,2042,0.85885997371
EV,ID,Land-based Wind,WIND,2044,1.554009413257
EV,ID,Land-based Wind,WIND,2046,1.554009413257
EV,ID,Land-based Wind,WIND,2048,1.57083716362
EV,ID,Land-based Wind,WIND,2050,1.864042761627
EV,ID,Offshore Wind,WIND,2020,0
EV,ID,Offshore Wind,WIND,2022,0
EV,ID,Offshore Wind,WIND,2024,0
EV,ID,Offshore Wind,WIND,2026,0
EV,ID,Offshore Wind,WIND,2028,0
EV,ID,Offshore Wind,WIND,2030,0
EV,ID,Offshore Wind,WIND,2032,0
EV,ID,Offshore Wind,WIND,2034,0
EV,ID,Offshore Wind,WIND,2036,0
EV,ID,Offshore Wind,WIND,2038,0
EV,ID,Offshore Wind,WIND,2040,0
EV,ID,Offshore Wind,WIND,2042,0
EV,ID,Offshore Wind,WIND,2044,0
EV,ID,Offshore Wind,WIND,2046,0
EV,ID,Offshore Wind,WIND,2048,0
EV,ID,Offshore Wind,WIND,2050,0
EV,ID,CSP,SOLAR,2020,0
EV,ID,CSP,SOLAR,2022,0
EV,ID,CSP,SOLAR,2024,0
EV,ID,CSP,SOLAR,2026,0
EV,ID,CSP,SOLAR,2028,0
EV,ID,CSP,SOLAR,2030,0
EV,ID,CSP,SOLAR,2032,0
EV,ID,CSP,SOLAR,2034,0
EV,ID,CSP,SOLAR,2036,0
EV,ID,CSP,SOLAR,2038,0
EV,ID,CSP,SOLAR,2040,0
EV,ID,CSP,SOLAR,2042,0
EV,ID,CSP,SOLAR,2044,0
EV,ID,CSP,SOLAR,2046,0
EV,ID,CSP,SOLAR,2048,0
EV,ID,CSP,SOLAR,2050,0
EV,ID,Utility PV,SOLAR,2020,0.310325
EV,ID,Utility PV,SOLAR,2022,0.310325
EV,ID,Utility PV,SOLAR,2024,0.310325
EV,ID,Utility PV,SOLAR,2026,2.38724807692308
EV,ID,Utility PV,SOLAR,2028,2.38724807692308
EV,ID,Utility PV,SOLAR,2030,2.38724807692308
EV,ID,Utility PV,SOLAR,2032,2.38724807692308
EV,ID,Utility PV,SOLAR,2034,2.38724807692308
EV,ID,Utility PV,SOLAR,2036,4.36460270140508
EV,ID,Utility PV,SOLAR,2038,4.36460270140508
EV,ID,Utility PV,SOLAR,2040,4.36460270140508
EV,ID,Utility PV,SOLAR,2042,4.36460270140508
EV,ID,Utility PV,SOLAR,2044,5.41538138774275
EV,ID,Utility PV,SOLAR,2046,5.41538138774275
EV,ID,Utility PV,SOLAR,2048,7.35237120191721
EV,ID,Utility PV,SOLAR,2050,7.35237120191721
EV,ID,Rooftop PV,SOLAR,2020,0.0288181818181818
EV,ID,Rooftop PV,SOLAR,2022,0.0382372727272727
EV,ID,Rooftop PV,SOLAR,2024,0.0432545454545454
EV,ID,Rooftop PV,SOLAR,2026,0.0502163636363636
EV,ID,Rooftop PV,SOLAR,2028,0.0590745454545455
EV,ID,Rooftop PV,SOLAR,2030,0.0703836363636364
EV,ID,Rooftop PV,SOLAR,2032,0.0795763636363636
EV,ID,Rooftop PV,SOLAR,2034,0.0876590909090909
EV,ID,Rooftop PV,SOLAR,2036,0.0946781818181818
EV,ID,Rooftop PV,SOLAR,2038,0.102084545454545
EV,ID,Rooftop PV,SOLAR,2040,0.11023
EV,ID,Rooftop PV,SOLAR,2042,0.115148181818182
EV,ID,Rooftop PV,SOLAR,2044,0.121595454545455
EV,ID,Rooftop PV,SOLAR,2046,0.127069090909091
EV,ID,Rooftop PV,SOLAR,2048,0.132896363636364
EV,ID,Rooftop PV,SOLAR,2050,0.139118181818182
EV,ID,Storage,BATT,2020,0
EV,ID,Storage,BATT,2022,0
EV,ID,Storage,BATT,2024,0
EV,ID,Storage,BATT,2026,0
EV,ID,Storage,BATT,2028,0
EV,ID,Storage,BATT,2030,1.42651284647297e-07
EV,ID,Storage,BATT,2032,1.42651284647297e-07
EV,ID,Storage,BATT,2034,1.42651284647297e-07
EV,ID,Storage,BATT,2036,1.42651284647297e-07
EV,ID,Storage,BATT,2038,8.43990262481751e-07
EV,ID,Storage,BATT,2040,0.000306471153865309
EV,ID,Storage,BATT,2042,0.000306471153865309
EV,ID,Storage,BATT,2044,0.00212352671886447
EV,ID,Storage,BATT,2046,0.00212759113164089
EV,ID,Storage,BATT,2048,0.0112337647965082
EV,ID,Storage,BATT,2050,0.0214487766795145
BAT,CA,Land-based Wind,WIND,2020,6.44818781733642
BAT,CA,Land-based Wind,WIND,2022,6.47867251743096
BAT,CA,Land-based Wind,WIND,2024,6.30547251743096
BAT,CA,Land-based Wind,WIND,2026,6.34476824335453
BAT,CA,Land-based Wind,WIND,2028,6.33649458861044
BAT,CA,Land-based Wind,WIND,2030,6.87968438672703
BAT,CA,Land-based Wind,WIND,2032,6.87541130685356
BAT,CA,Land-based Wind,WIND,2034,6.55017025659181
BAT,CA,Land-based Wind,WIND,2036,6.63845215728181
BAT,CA,Land-based Wind,WIND,2038,6.84363387156281
BAT,CA,Land-based Wind,WIND,2040,6.90510072660281
BAT,CA,Land-based Wind,WIND,2042,4.99989140410827
BAT,CA,Land-based Wind,WIND,2044,4.84448580027333
BAT,CA,Land-based Wind,WIND,2046,4.53277321240528
BAT,CA,Land-based Wind,WIND,2048,4.43809714267904
BAT,CA,Land-based Wind,WIND,2050,4.30609714267904
BAT,CA,Offshore Wind,WIND,2020,0
BAT,CA,Offshore Wind,WIND,2022,0
BAT,CA,Offshore Wind,WIND,2024,0
BAT,CA,Offshore Wind,WIND,2026,0
BAT,CA,Offshore Wind,WIND,2028,0
BAT,CA,Offshore Wind,WIND,2030,0
BAT,CA,Offshore Wind,WIND,2032,0
BAT,CA,Offshore Wind,WIND,2034,0
BAT,CA,Offshore Wind,WIND,2036,0
BAT,CA,Offshore Wind,WIND,2038,0
BAT,CA,Offshore Wind,WIND,2040,0
BAT,CA,Offshore Wind,WIND,2042,0
BAT,CA,Offshore Wind,WIND,2044,0
BAT,CA,Offshore Wind,WIND,2046,0
BAT,CA,Offshore Wind,WIND,2048,0
BAT,CA,Offshore Wind,WIND,2050,0
BAT,CA,CSP,SOLAR,2020,1.383187
BAT,CA,CSP,SOLAR,2022,1.383187
BAT,CA,CSP,SOLAR,2024,1.383187
BAT,CA,CSP,SOLAR,2026,1.383187
BAT,CA,CSP,SOLAR,2028,1.383187
BAT,CA,CSP,SOLAR,2030,1.383187
BAT,CA,CSP,SOLAR,2032,1.383187
BAT,CA,CSP,SOLAR,2034,1.383187
BAT,CA,CSP,SOLAR,2036,1.383187
BAT,CA,CSP,SOLAR,2038,1.383187
BAT,CA,CSP,SOLAR,2040,1.383187
BAT,CA,CSP,SOLAR,2042,1.35314
BAT,CA,CSP,SOLAR,2044,0.41764
BAT,CA,CSP,SOLAR,2046,0.41764
BAT,CA,CSP,SOLAR,2048,0.41764
BAT,CA,CSP,SOLAR,2050,0.41764
BAT,CA,Utility PV,SOLAR,2020,11.5704223076923
BAT,CA,Utility PV,SOLAR,2022,15.6462041540923
BAT,CA,Utility PV,SOLAR,2024,18.3386780551923
BAT,CA,Utility PV,SOLAR,2026,19.1541430594238
BAT,CA,Utility PV,SOLAR,2028,21.0311806298289
BAT,CA,Utility PV,SOLAR,2030,27.161550112352
BAT,CA,Utility PV,SOLAR,2032,28.7940904631754
BAT,CA,Utility PV,SOLAR,2034,30.2832630052956
BAT,CA,Utility PV,SOLAR,2036,31.441378586302
BAT,CA,Utility PV,SOLAR,2038,32.3522645218859
BAT,CA,Utility PV,SOLAR,2040,35.9859087333345
BAT,CA,Utility PV,SOLAR,2042,40.6400927099345
BAT,CA,Utility PV,SOLAR,2044,44.0033196584306
BAT,CA,Utility PV,SOLAR,2046,46.9133618517714
BAT,CA,Utility PV,SOLAR,2048,47.005632013517
BAT,CA,Utility PV,SOLAR,2050,52.2034162539086
BAT,CA,Rooftop PV,SOLAR,2020,7.09626181818182
BAT,CA,Rooftop PV,SOLAR,2022,7.58907818181818
BAT,CA,Rooftop PV,SOLAR,2024,7.93829272727273
BAT,CA,Rooftop PV,SOLAR,2026,8.31397454545454
BAT,CA,Rooftop PV,SOLAR,2028,8.73472727272727
BAT,CA,Rooftop PV,SOLAR,2030,9.21964272727273
BAT,CA,Rooftop PV,SOLAR,2032,9.59919545454545
BAT,CA,Rooftop PV,SOLAR,2034,9.90462181818182
BAT,CA,Rooftop PV,SOLAR,2036,10.1926481818182
BAT,CA,Rooftop PV,SOLAR,2038,10.4339872727273
BAT,CA,Rooftop PV,SOLAR,2040,10.6435909090909
BAT,CA,Rooftop PV,SOLAR,2042,10.7746927272727
BAT,CA,Rooftop PV,SOLAR,2044,10.8989209090909
BAT,CA,Rooftop PV,SOLAR,2046,11.0087
BAT,CA,Rooftop PV,SOLAR,2048,11.1209572727273
BAT,CA,Rooftop PV,SOLAR,2050,11.2261209090909
BAT,CA,Storage,BATT,2020,4.66073716632444
BAT,CA,Storage,BATT,2022,5.06673716632443
BAT,CA,Storage,BATT,2024,5.06673716632443
BAT,CA,Storage,BATT,2026,5.06674110152235
BAT,CA,Storage,BATT,2028,5.06737920160223
BAT,CA,Storage,BATT,2030,5.07541883027769
BAT,CA,Storage,BATT,2032,5.08108242609301
BAT,CA,Storage,BATT,2034,5.10085694777595
BAT,CA,Storage,BATT,2036,5.10378094004366
BAT,CA,Storage,BATT,2038,5.13910821609643
BAT,CA,Storage,BATT,2040,8.71148205291011
BAT,CA,Storage,BATT,2042,12.8816117594607
BAT,CA,Storage,BATT,2044,17.114598327276
BAT,CA,Storage,BATT,2046,20.4917416172649
BAT,CA,Storage,BATT,2048,20.558452134729
BAT,CA,Storage,BATT,2050,20.9024508679994
BAT,WA,Land-based Wind,WIND,2020,3.19268416777443
BAT,WA,Land-based Wind,WIND,2022,3.19268416777443
BAT,WA,Land-based Wind,WIND,2024,3.19268416777443
BAT,WA,Land-based Wind,WIND,2026,2.96768416777443
BAT,WA,Land-based Wind,WIND,2028,2.95208316777443
BAT,WA,Land-based Wind,WIND,2030,2.46701232729242
